uid,lat,lng,datetime,tid,leaving_datetime,geoid
0,40.0087575,116.3202505,2008-11-13 03:52:33,13,2008-11-13 06:49:39,0
0,40.005306,116.31939399999999,2008-11-13 06:52:04,13,2008-11-13 07:36:14,1
0,39.958482000000004,116.316226,2008-11-13 07:57:44,13,2008-11-13 08:18:47,2
0,39.961389000000004,116.318998,2008-11-13 08:18:47,13,2008-11-13 11:03:09,3
0,40.001233,116.323682,2008-11-13 11:06:24,13,2008-11-13 13:53:31,4
0,40.0000065,116.3245225,2008-11-15 01:08:33,16,2008-11-15 03:30:45,5
0,40.009344,116.32088,2008-11-15 03:33:05,16,2008-11-15 04:00:05,0
0,39.999874,116.32735500000001,2009-04-10 02:26:30,51,2009-04-10 07:34:58,6
0,39.762828000000006,116.297274,2009-04-10 08:55:28,51,2009-04-10 12:52:38,7
0,39.99992,116.327356,2009-04-10 14:04:08,51,2009-04-10 17:05:18,6
0,39.99832,116.321572,2009-04-11 05:44:38,52,2009-04-11 06:13:28,8
0,39.999833,116.327289,2009-04-11 06:25:18,52,2009-04-11 07:20:37,6
0,39.762768,116.29729599999999,2009-04-11 08:42:27,52,2009-04-11 12:50:04,7
0,39.999894,116.32731399999999,2009-04-11 14:13:19,52,2009-04-11 17:16:20,6
0,40.000198,116.327174,2009-05-06 13:04:01,88,2009-05-06 18:27:08,6
0,39.999971,116.32731000000001,2009-05-20 01:15:11,110,2009-05-20 02:26:10,6
0,39.999793499999996,116.32726450000001,2009-05-21 04:58:47,113,2009-05-21 08:04:22,6
0,40.005432,116.326361,2009-05-21 08:08:07,113,2009-05-21 10:31:07,9
0,40.000187,116.32725900000001,2009-05-21 10:35:31,113,2009-05-21 13:48:29,6
0,40.000031,116.327073,2009-06-03 06:48:42,130,2009-06-03 09:09:21,6
0,40.003384499999996,116.32469900000001,2009-06-03 10:01:06,130,2009-06-03 11:53:13,6
0,40.00762,116.319823,2009-06-03 11:57:08,130,2009-06-03 12:54:39,10
0,39.999836,116.327328,2009-06-03 13:02:10,130,2009-06-03 14:55:35,6
0,40.009009000000006,116.31661899999999,2009-06-03 15:17:42,130,2009-06-03 16:25:34,11
3,39.896202,116.597672,2008-12-16 03:09:06,67,2008-12-16 03:29:31,12
3,39.898415,116.595996,2008-12-16 03:42:21,67,2008-12-16 04:59:05,13
3,39.999968,116.32730500000001,2009-03-06 04:48:39,168,2009-03-06 10:19:19,6
3,40.009627,116.319971,2009-03-06 10:28:49,168,2009-03-06 11:34:44,0
3,39.99995750000001,116.32735450000001,2009-03-06 11:43:24,168,2009-03-06 17:13:36,6
3,39.999947,116.327398,2009-03-11 00:46:17,177,2009-03-11 03:35:12,6
3,40.006226999999996,116.32554250000001,2009-03-11 04:07:47,177,2009-03-11 05:20:21,9
3,40.010061,116.314889,2009-03-11 05:28:56,177,2009-03-11 06:02:36,14
3,39.999963,116.32727299999999,2009-03-11 06:10:36,177,2009-03-11 09:38:58,6
3,40.009788,116.32262449999999,2009-03-11 09:45:38,177,2009-03-11 10:11:26,15
3,40.002590999999995,116.32628600000001,2009-03-11 10:26:26,177,2009-03-11 12:34:36,6
3,39.999874,116.32735500000001,2009-04-10 02:26:30,202,2009-04-10 07:34:58,6
3,39.762828000000006,116.297274,2009-04-10 08:55:28,202,2009-04-10 12:52:38,7
